name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,temp_discovery_date,temp_mass,planet_radius,orbital_radius,orbital_period,eccentricity
,,,,,,,,,,,,
55 Cancri c,41,0.1714 Jupiters,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7003/55-cancri-c/,Gas Giant,2004,0.1714 Jupiters,0.76 x Jupiter,0.2373 AU,44.4 days,0.03
,,,,,,,,,,,,
55 Cancri e,41,7.99 Earths,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7005/55-cancri-e/,Super Earth,2004,7.99 Earths,1.875 x Earth,0.01544 AU,0.7 days,0.05
,,,,,,,,,,,,
GJ 3473 b,89,1.86 Earths,13.74,2020,https://exoplanets.nasa.gov/exoplanet-catalog/7763/gj-3473-b/,Super Earth,2020,1.86 Earths,1.264 x Earth,0.01589 AU,1.2 days,0
,,,,,,,,,,,,
GJ 436 b,32,22.1 Earths,10.67,2004,https://exoplanets.nasa.gov/exoplanet-catalog/6534/gj-436-b/,Neptune-like,2004,22.1 Earths,0.372 x Jupiter,0.0291 AU,2.6 days,0.14
,,,,,,,,,,,,
GJ 486 b,26,2.82 Earths,11.39,2021,https://exoplanets.nasa.gov/exoplanet-catalog/7840/gj-486-b/,Super Earth,2021,2.82 Earths,1.305 x Earth,0.01734 AU,1.5 days,0.05
,,,,,,,,,,,,
HAT-P-12 b,466,0.211 Jupiters,12.665,2009,https://exoplanets.nasa.gov/exoplanet-catalog/1226/hat-p-12-b/,Gas Giant,2009,0.211 Jupiters,0.959 x Jupiter,0.0384 AU,3.2 days,0
,,,,,,,,,,,,
HAT-P-15 b,628,1.94 Jupiters,12.41,2010,https://exoplanets.nasa.gov/exoplanet-catalog/1229/hat-p-15-b/,Gas Giant,2010,1.94 Jupiters,1.06 x Jupiter,0.0965 AU,10.9 days,0.19
,,,,,,,,,,,,
HAT-P-1 b,519,0.525 Jupiters,9.827,2006,https://exoplanets.nasa.gov/exoplanet-catalog/5210/hat-p-1-b/,Gas Giant,2006,0.525 Jupiters,1.319 x Jupiter,0.05561 AU,4.5 days,0
,,,,,,,,,,,,
HAT-P-36 b,960,1.8482 Jupiters,12.146,2011,https://exoplanets.nasa.gov/exoplanet-catalog/1252/hat-p-36-b/,Gas Giant,2011,1.8482 Jupiters,1.277 x Jupiter,0.0241 AU,1.3 days,0.06
,,,,,,,,,,,,
