name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,hyperlink,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity,pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,740,-380,0,5.28,0.63,-0.34,0,12.5,,,0,1.12,,,0,3003.37,718.27,-330.53,0,9.45,2.26,-1.04,0,Msini,0,0,0,0,,,,,,,,,0,G8 V,5690,36,-36,0,0.99,0.03,-0.01,0,1.04,0.08,-0.08,0,0.17,0.07,-0.07,0,[Fe/H],4.44,0.1,-0.07,0,23h59m36.21s,359.9008737,-35d01m52.81s,-35.0313349,89.9606,0.3648,-0.3618,9.789,0.003,-0.003,8.086,0.023,-0.023,9.61249,0.000415,-0.000415,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 Cancri c,41,0.1714 Jupiters,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7003/55-cancri-c/,Gas Giant,2004,0.1714 Jupiters,0.76 x Jupiter,0.2373 AU,44.4 days,0.03,,,,,,,,,,0.00000083,-0.00000079,0,0.0344,0.001,-0.0011,0,11.198,0.336,-0.347,0,0.999,0.03,-0.031,0,170.99254,11.12405,-11.44188,0,0.538,0.035,-0.036,0,Mass,0.002,0.01,-0.002,0,,,,,825,19,-19,0,0,K7-M0 V,4143,92,-94,0,0.59,0.02,-0.02,0,0.58,0.05,-0.05,0,-0.13,0.15,-0.17,0,[Fe/H],4.66,0.02,-0.02,0,20h12m40.03s,303.1667996,-02d08m39.97s,-2.1444369,49.7876,0.11605,-0.11605,11.841,0.034,-0.034,8.351,0.022,-0.022,11.273,0.000824,-0.000824
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0000023,-0.0000023,0,0.03908,0.0007,-0.00072,0,16.018,0.572,-0.516,0,1.429,0.051,-0.046,0,231.69807,11.44188,-11.12405,0,0.729,0.036,-0.035,0,Mass,0.066,,,1,,,,,1623,38,-37,0,0,,5870,120,-120,0,1.28,0.04,-0.04,0,1.08,0.06,-0.06,0,-0.36,0.14,-0.14,0,[Fe/H],4.26,0.02,-0.03,0,20h16m49.92s,304.2079924,+03d17m38.22s,3.2939492,398.505,7.132,-6.889,12.469,0.069,-0.069,10.892,0.026,-0.026,12.3326,0.000162,-0.000162,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55 Cancri e,41,7.99 Earths,5.95084,2004,https://exoplanets.nasa.gov/exoplanet-catalog/7005/55-cancri-e/,Super Earth,2004,7.99 Earths,1.875 x Earth,0.01544 AU,0.7 days,0.05,,,,,,,,,,0.000002,-0.000002,0,0.0447,0.0007,-0.0007,0,18.159,1.457,-1.457,0,1.62,0.13,-0.13,0,371.8611,63.566,-63.566,0,1.17,0.2,-0.2,0,Mass,0,,,0,3557.29,,,0,2190,40,-40,0,0,F5,6480,90,-90,0,2.1,0.16,-0.16,0,1.48,0.37,-0.37,0,0.12,,,0,[Fe/H],3.96,0.03,-0.03,0,04h50m38.54s,72.6605916,+01d53m37.81s,1.8938365,275.664,3.122,-3.055,10.073,0.005,-0.005,8.759,0.023,-0.023,9.89796,0.000312,-0.000312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000015,-0.000015,0,0.059,0.001,-0.001,0,11.657,0.897,-0.56,0,1.04,0.08,-0.05,0,95.349,9.5349,-9.5349,0,0.3,0.03,-0.03,0,Mass,0,,,0,307.65,,,0,1120,30,-30,0,0,G8,5510,110,-110,0,1.05,0.06,-0.04,0,1.11,0.09,-0.09,0,0.29,0.12,-0.12,0,[Fe/H],4.44,0.02,-0.04,0,12h40m36.47s,190.1519558,-19d17m03.67s,-19.2843527,271.103,3.716,-3.618,12.312,0.08,-0.08,10.393,0.023,-0.023,12.0084,0.000229,-0.000229,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
